,Cause,Type,Year,Data Redundancy,Total Deaths,Source,Page at Source,Source URL,CategorizeCause
29,"Cedera, Keracunan, dan Akibat Sebab Luar Tertentu Lainnya",Bencana Non Alam dan Penyakit,2008,1,5767,Profil Kesehatan Indonesia Tahun 2008,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Keracunan
30,Penyakit Sistem Cerna,Bencana Non Alam dan Penyakit,2006,1,5739,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Gangguan Pencernaan
31,"Penyakit Endokrin, Nutrisi, dan Metabolik",Bencana Non Alam dan Penyakit,2008,1,5585,Profil Kesehatan Indonesia Tahun 2008,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Gizi Buruk
32,Infeksi Saluran Napas Bagian Atas Akut Lainnya,Bencana Non Alam dan Penyakit,2004,1,5532,Profil Kesehatan Indonesia Tahun 2004,20,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Penyakit Nafas
33,"Cedera, Keracunan, dan Akibat Sebab Luar Tertentu Lainnya",Bencana Non Alam dan Penyakit,2005,1,5331,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Keracunan
34,"Penyakit Endokrin, Nutrisi, dan Metabolik",Bencana Non Alam dan Penyakit,2007,1,5277,Profil Kesehatan Indonesia Tahun 2008,30,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Gizi Buruk
35,"Penyakit Endokrin, Nutrisi, dan Metabolik",Bencana Non Alam dan Penyakit,2006,1,5242,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Gizi Buruk
36,Neoplasma,Bencana Non Alam dan Penyakit,2005,1,4822,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Neoplasma
37,"Cedera, Keracunan, dan Akibat Sebab Luar Tertentu Lainnya",Bencana Non Alam dan Penyakit,2006,1,4770,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Keracunan
38,Stroke tidak menyebut pendarahan atau infark,Bencana Non Alam dan Penyakit,2005,1,4692,Profil Kesehatan Indonesia Tahun 2005,21,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Stroke tidak menyebut pendarahan atau infark
39,Neoplasma,Bencana Non Alam dan Penyakit,2007,1,4585,Profil Kesehatan Indonesia Tahun 2008,30,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Neoplasma
40,Penyakit Sistem Kemih Kelamin,Bencana Non Alam dan Penyakit,2007,1,4557,Profil Kesehatan Indonesia Tahun 2008,30,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Gangguan Sistem Kemih
41,Penyakit Sistem Kemih Kelamin,Bencana Non Alam dan Penyakit,2008,1,4542,Profil Kesehatan Indonesia Tahun 2008,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Gangguan Sistem Kemih
42,"Penyakit Endokrin, Nutrisi, dan Metabolik",Bencana Non Alam dan Penyakit,2005,1,4511,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Gizi Buruk
43,Penyakit Sistem Kemih Kelamin,Bencana Non Alam dan Penyakit,2005,1,4390,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Gangguan Sistem Kemih
44,Stroke tidak menyebut pendarahan atau infark,Bencana Non Alam dan Penyakit,2006,1,4377,Profil Kesehatan Indonesia Tahun 2007,26,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Stroke tidak menyebut pendarahan atau infark
45,Neoplasma,Bencana Non Alam dan Penyakit,2008,1,4332,Profil Kesehatan Indonesia Tahun 2008,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Neoplasma
46,"Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK",Bencana Non Alam dan Penyakit,2008,1,4238,Profil Kesehatan Indonesia Tahun 2008,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,"Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK"
47,Stroke tidak menyebut pendarahan atau infark,Bencana Non Alam dan Penyakit,2004,1,4215,Profil Kesehatan Indonesia Tahun 2004,20,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Stroke tidak menyebut pendarahan atau infark
48,"Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK",Bencana Non Alam dan Penyakit,2007,1,3967,Profil Kesehatan Indonesia Tahun 2008,30,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,"Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK"
49,Diare & gastroenteritis Oleh penyebab infeksi tertentu (kolitis infeksi),Bencana Non Alam dan Penyakit,2004,1,3941,Profil Kesehatan Indonesia Tahun 2004,20,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Diare
50,Tuberkulosis paru,Bencana Non Alam dan Penyakit,2004,1,3852,Profil Kesehatan Indonesia Tahun 2004,20,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Penyakit Nafas
51,Penyakit Sistem Kemih Kelamin,Bencana Non Alam dan Penyakit,2006,1,3750,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Gangguan Sistem Kemih
52,Perdarahan intrakranial,Bencana Non Alam dan Penyakit,2006,1,3677,Profil Kesehatan Indonesia Tahun 2007,26,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Gangguan Sistem Otak
53,Malaria (termasuk semua malaria),Bencana Non Alam dan Penyakit,2004,1,3578,Profil Kesehatan Indonesia Tahun 2004,20,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Malaria
54,Perdarahan intrakranial,Bencana Non Alam dan Penyakit,2005,1,3572,Profil Kesehatan Indonesia Tahun 2005,21,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Gangguan Sistem Otak
55,Neoplasma,Bencana Non Alam dan Penyakit,2006,1,3378,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Neoplasma
56,"Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK",Bencana Non Alam dan Penyakit,2006,1,3296,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,"Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK"
57,TB Paru BTA Positif,Bencana Non Alam dan Penyakit,2009,1,3282,Profil Kesehatan Indonesia Tahun 2010,Lampiran 3.16,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Penyakit Nafas
58,TB Paru,Bencana Non Alam dan Penyakit,2008,1,3271,Profil Kesehatan Indonesia Tahun 2009,Lampiran 3.10,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Penyakit Nafas
59,"Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK",Bencana Non Alam dan Penyakit,2005,1,3264,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,"Gejala, Tanda & Penemuan Laboratorium, Klinik Abnormal YTK"
60,Penyakit Susunan Syaraf,Bencana Non Alam dan Penyakit,2008,1,3218,Profil Kesehatan Indonesia Tahun 2008,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Penyakit Susunan Syaraf
61,Pneumonia,Bencana Non Alam dan Penyakit,2004,1,3103,Profil Kesehatan Indonesia Tahun 2004,20,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Penyakit Nafas
62,Penyakit Susunan Syaraf,Bencana Non Alam dan Penyakit,2005,1,3089,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Penyakit Susunan Syaraf
63,Septisemia,Bencana Non Alam dan Penyakit,2005,1,3065,Profil Kesehatan Indonesia Tahun 2005,21,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Penyakit sistem sirkulasi darah
64,Gagal ginjal lainnya,Bencana Non Alam dan Penyakit,2005,1,3047,Profil Kesehatan Indonesia Tahun 2005,21,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Gangguan Sistem Kemih
65,Cedera intrakranial,Bencana Non Alam dan Penyakit,2005,1,3021,Profil Kesehatan Indonesia Tahun 2005,21,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Gangguan Sistem Otak
66,Penyakit Susunan Syaraf,Bencana Non Alam dan Penyakit,2006,1,2894,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Penyakit Susunan Syaraf
67,Perdarahan intrakranial,Bencana Non Alam dan Penyakit,2004,1,2868,Profil Kesehatan Indonesia Tahun 2004,20,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Gangguan Sistem Otak
68,Pneumonia,Bencana Non Alam dan Penyakit,2005,1,2765,Profil Kesehatan Indonesia Tahun 2005,21,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Penyakit Nafas
69,Sebab Luar Morbiditas & Mortalitas,Bencana Non Alam dan Penyakit,2005,1,2745,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Sebab Luar Morbiditas & Mortalitas
70,Diare & gastroenteritis Oleh penyebab infeksi tertentu (kolitis infeksi),Bencana Non Alam dan Penyakit,2006,1,2716,Profil Kesehatan Indonesia Tahun 2007,26,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Diare
71,Demam Tifoid dan Paratifoid,Bencana Non Alam dan Penyakit,2004,1,2619,Profil Kesehatan Indonesia Tahun 2004,20,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Demam
72,Gempa Bumi dan Tsunami,Bencana Alam,2018,1,2615,Profil Kesehatan Indonesia Tahun 2018,Lampiran 6.49,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Tsunami dan gempa bumi
73,"Pertumbuhan janin lamban, malnutrisi janin dan gangguan yang berhubungan dengan kehamilan pendek dan berat badan lahir rendah",Bencana Non Alam dan Penyakit,2005,1,2606,Profil Kesehatan Indonesia Tahun 2005,17,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Kehamilan & Persalinan
74,"Pertumbuhan janin lamban, malnutrisi janin dan gangguan yang berhubungan dengan kehamilan pendek dan berat badan lahir rendah",Bencana Non Alam dan Penyakit,2006,1,2578,Profil Kesehatan Indonesia Tahun 2007,26,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Kehamilan & Persalinan
75,Penyakit jantung lainnya,Bencana Non Alam dan Penyakit,2005,1,2577,Profil Kesehatan Indonesia Tahun 2005,21,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Penyakit jantung lainnya
76,Cedera intrakranial,Bencana Non Alam dan Penyakit,2004,1,2554,Profil Kesehatan Indonesia Tahun 2004,20,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Gangguan Sistem Otak
77,Septisemia,Bencana Non Alam dan Penyakit,2006,1,2539,Profil Kesehatan Indonesia Tahun 2007,26,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Penyakit sistem sirkulasi darah
78,Gagal ginjal lainnya,Bencana Non Alam dan Penyakit,2006,1,2521,Profil Kesehatan Indonesia Tahun 2007,26,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Gangguan Sistem Kemih
79,Cedera intrakranial,Bencana Non Alam dan Penyakit,2006,1,2519,Profil Kesehatan Indonesia Tahun 2007,26,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Gangguan Sistem Otak
80,Pneumonia,Bencana Non Alam dan Penyakit,2006,1,2459,Profil Kesehatan Indonesia Tahun 2007,26,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Penyakit Nafas
81,Diabetes melitus YTT,Bencana Non Alam dan Penyakit,2006,1,2384,Profil Kesehatan Indonesia Tahun 2007,26,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Diabetes Melitus YTT
82,Septisemia,Bencana Non Alam dan Penyakit,2004,1,2369,Profil Kesehatan Indonesia Tahun 2004,20,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Penyakit sistem sirkulasi darah
83,Pneumonia,Bencana Non Alam dan Penyakit,2009,1,2365,Profil Kesehatan Indonesia Tahun 2009,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Penyakit Nafas
84,"Pertumbuhan janin lamban, malnutrisi janin dan gangguan yang berhubungan dengan kehamilan pendek dan berat badan lahir rendah",Bencana Non Alam dan Penyakit,2004,1,2100,Profil Kesehatan Indonesia Tahun 2004,16,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Kehamilan & Persalinan
85,Diabetes melitus YTT,Bencana Non Alam dan Penyakit,2005,1,2086,Profil Kesehatan Indonesia Tahun 2005,21,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Diabetes Melitus YTT
86,Sebab Luar Morbiditas & Mortalitas,Bencana Non Alam dan Penyakit,2008,1,2046,Profil Kesehatan Indonesia Tahun 2008,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Sebab Luar Morbiditas & Mortalitas
87,Tuberkulosis paru lainnya,Bencana Non Alam dan Penyakit,2005,1,2024,Profil Kesehatan Indonesia Tahun 2005,21,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Penyakit Nafas
88,Kecelakaan kerja,Bencana Non Alam dan Penyakit,2007,1,1883,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.26,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Kecelakaan
89,Hipoksia intrauterus dan asfiksia lahir,Bencana Non Alam dan Penyakit,2005,1,1876,Profil Kesehatan Indonesia Tahun 2005,17,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Kehamilan & Persalinan
90,"Kehamilan, Persalinan & Masa Nifas",Bencana Non Alam dan Penyakit,2008,1,1807,Profil Kesehatan Indonesia Tahun 2008,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Kehamilan & Persalinan
91,Gempa Bumi,Bencana Alam,2005,1,1801,Profil Kesehatan Indonesia Tahun 2005,Lampiran 4.24,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Tsunami dan gempa bumi
