,InvoiceNo,item_sku,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,gmv,CancelledOrder,InternationalOrders,TotalPrice
31,537239,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-06 10:05:00,1.69,18219.0,United Kingdom,13.52,0,0,13.52
32,537346,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2010-12-06 12:21:00,1.69,15301.0,United Kingdom,40.56,0,0,40.56
33,537362,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-06 12:34:00,1.69,17596.0,United Kingdom,13.52,0,0,13.52
34,537393,84879,ASSORTED COLOUR BIRD ORNAMENT,48,2010-12-06 13:59:00,1.69,13089.0,United Kingdom,81.12,0,0,81.12
35,537396,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2010-12-06 14:08:00,1.69,17223.0,United Kingdom,3.38,0,0,3.38
36,537396,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-06 14:08:00,1.69,17223.0,United Kingdom,13.52,0,0,13.52
37,537421,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-06 15:25:00,1.69,17218.0,United Kingdom,13.52,0,0,13.52
38,537433,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-06 16:36:00,1.69,12913.0,United Kingdom,13.52,0,0,13.52
39,537457,84879,ASSORTED COLOUR BIRD ORNAMENT,160,2010-12-07 09:51:00,1.45,17511.0,United Kingdom,232.0,0,0,232.0
40,537464,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-07 10:14:00,1.69,14907.0,United Kingdom,13.52,0,0,13.52
41,537592,84879,ASSORTED COLOUR BIRD ORNAMENT,64,2010-12-07 12:18:00,1.69,17491.0,United Kingdom,108.16,0,0,108.16
42,537601,84879,ASSORTED COLOUR BIRD ORNAMENT,7,2010-12-07 12:43:00,1.69,17287.0,United Kingdom,11.83,0,0,11.83
43,537604,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-07 13:01:00,1.69,13488.0,United Kingdom,13.52,0,0,13.52
44,537608,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-07 13:20:00,1.69,15024.0,United Kingdom,27.04,0,0,27.04
45,537629,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-07 15:03:00,1.69,17419.0,United Kingdom,13.52,0,0,13.52
46,537691,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-08 10:39:00,1.69,13842.0,United Kingdom,13.52,0,0,13.52
47,537764,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2010-12-08 12:06:00,1.69,16893.0,United Kingdom,5.07,0,0,5.07
48,537781,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-08 12:46:00,1.69,17341.0,United Kingdom,13.52,0,0,13.52
49,537781,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-08 12:46:00,1.69,17341.0,United Kingdom,13.52,0,0,13.52
50,537828,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-08 14:43:00,1.69,15680.0,United Kingdom,13.52,0,0,13.52
51,537842,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-08 15:12:00,1.69,13140.0,United Kingdom,13.52,0,0,13.52
52,537852,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-08 15:56:00,1.69,17340.0,United Kingdom,54.08,0,0,54.08
53,537864,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-08 16:34:00,1.69,16700.0,United Kingdom,13.52,0,0,13.52
54,537889,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-09 10:04:00,1.69,13319.0,United Kingdom,54.08,0,0,54.08
55,537900,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-09 10:45:00,1.69,15983.0,United Kingdom,54.08,0,0,54.08
56,538079,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2010-12-09 14:27:00,1.69,17671.0,United Kingdom,40.56,0,0,40.56
57,538086,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-09 14:44:00,1.69,12872.0,United Kingdom,27.04,0,0,27.04
58,538170,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-09 19:32:00,1.69,13969.0,United Kingdom,27.04,0,0,27.04
59,538196,84879,ASSORTED COLOUR BIRD ORNAMENT,120,2010-12-10 10:56:00,1.69,12731.0,France,202.8,0,1,202.79999999999998
60,538206,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-10 11:31:00,1.69,17827.0,United Kingdom,13.52,0,0,13.52
61,538296,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-10 13:06:00,1.69,13148.0,United Kingdom,13.52,0,0,13.52
62,538409,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-12 11:49:00,1.69,17236.0,United Kingdom,27.04,0,0,27.04
63,538510,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2010-12-12 13:47:00,1.69,18004.0,United Kingdom,1.69,0,0,1.69
64,538518,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-12 16:14:00,1.69,14505.0,United Kingdom,13.52,0,0,13.52
65,538537,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2010-12-13 10:41:00,1.69,12747.0,United Kingdom,40.56,0,0,40.56
66,538576,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-13 11:29:00,1.69,14498.0,United Kingdom,13.52,0,0,13.52
67,538638,84879,ASSORTED COLOUR BIRD ORNAMENT,10,2010-12-13 14:16:00,1.69,17231.0,United Kingdom,16.9,0,0,16.9
68,538646,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-13 14:55:00,1.69,17293.0,United Kingdom,27.04,0,0,27.04
69,538652,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-13 15:12:00,1.69,17890.0,United Kingdom,13.52,0,0,13.52
70,538814,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-14 12:30:00,1.69,15983.0,United Kingdom,13.52,0,0,13.52
71,538815,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-14 12:30:00,1.69,18219.0,United Kingdom,13.52,0,0,13.52
72,538826,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2010-12-14 12:58:00,1.69,12370.0,Cyprus,40.56,0,1,40.56
73,538831,84879,ASSORTED COLOUR BIRD ORNAMENT,160,2010-12-14 13:02:00,1.45,18144.0,United Kingdom,232.0,0,0,232.0
74,538832,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-14 13:03:00,1.69,17158.0,United Kingdom,27.04,0,0,27.04
75,538836,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2010-12-14 13:09:00,1.69,12748.0,United Kingdom,6.76,0,0,6.76
76,538890,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-14 16:39:00,1.69,12867.0,United Kingdom,13.52,0,0,13.52
77,538902,84879,ASSORTED COLOUR BIRD ORNAMENT,40,2010-12-15 10:04:00,1.69,14150.0,United Kingdom,67.6,0,0,67.6
78,538903,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-15 10:17:00,1.69,13496.0,United Kingdom,13.52,0,0,13.52
79,538992,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-15 11:56:00,1.69,15950.0,United Kingdom,13.52,0,0,13.52
80,538995,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2010-12-15 12:05:00,1.69,13458.0,United Kingdom,40.56,0,0,40.56
81,539039,84879,ASSORTED COLOUR BIRD ORNAMENT,40,2010-12-15 15:00:00,1.69,13124.0,United Kingdom,67.6,0,0,67.6
82,539085,84879,ASSORTED COLOUR BIRD ORNAMENT,48,2010-12-16 09:35:00,1.45,12748.0,United Kingdom,69.6,0,0,69.6
83,539103,84879,ASSORTED COLOUR BIRD ORNAMENT,40,2010-12-16 10:38:00,1.69,16985.0,United Kingdom,67.6,0,0,67.6
84,539112,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-16 11:15:00,1.69,13468.0,United Kingdom,13.52,0,0,13.52
85,539196,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-16 12:09:00,1.69,18055.0,United Kingdom,27.04,0,0,27.04
86,539225,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2010-12-16 13:02:00,1.69,15379.0,United Kingdom,40.56,0,0,40.56
87,539293,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2010-12-16 16:42:00,1.69,18223.0,United Kingdom,40.56,0,0,40.56
88,539326,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-17 09:22:00,1.69,14560.0,United Kingdom,13.52,0,0,13.52
89,539439,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-17 15:14:00,1.69,13869.0,United Kingdom,13.52,0,0,13.52
90,539470,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-19 14:03:00,1.69,14472.0,United Kingdom,13.52,0,0,13.52
91,539676,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-21 10:54:00,1.69,12423.0,Belgium,13.52,0,1,13.52
92,539720,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-21 13:22:00,1.69,16996.0,United Kingdom,27.04,0,0,27.04
93,539957,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-23 12:58:00,1.69,12585.0,Germany,27.04,0,1,27.04
94,540015,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-01-04 11:40:00,1.69,13319.0,United Kingdom,27.04,0,0,27.04
95,540031,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-04 13:50:00,1.69,17975.0,United Kingdom,13.52,0,0,13.52
96,540043,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-01-04 14:21:00,1.69,15164.0,United Kingdom,27.04,0,0,27.04
97,540073,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2011-01-04 14:47:00,1.69,16814.0,United Kingdom,54.08,0,0,54.08
98,540120,84879,ASSORTED COLOUR BIRD ORNAMENT,64,2011-01-05 10:08:00,1.69,17675.0,United Kingdom,108.16,0,0,108.16
99,540146,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-01-05 10:51:00,1.69,15002.0,United Kingdom,40.56,0,0,40.56
100,540183,84879,ASSORTED COLOUR BIRD ORNAMENT,96,2011-01-05 13:37:00,1.69,15093.0,United Kingdom,162.24,0,0,162.24
101,540242,84879,ASSORTED COLOUR BIRD ORNAMENT,40,2011-01-05 15:30:00,1.69,15046.0,United Kingdom,67.6,0,0,67.6
102,540247,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-05 15:56:00,1.69,15464.0,United Kingdom,13.52,0,0,13.52
103,540268,84879,ASSORTED COLOUR BIRD ORNAMENT,48,2011-01-06 11:25:00,1.69,13458.0,United Kingdom,81.12,0,0,81.12
104,540278,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-06 12:31:00,1.69,15719.0,United Kingdom,13.52,0,0,13.52
105,540349,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-06 14:07:00,1.69,15379.0,United Kingdom,13.52,0,0,13.52
106,540374,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-01-06 17:19:00,1.69,15845.0,United Kingdom,40.56,0,0,40.56
107,540493,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-01-07 16:34:00,1.69,14867.0,United Kingdom,40.56,0,0,40.56
108,540511,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-09 11:34:00,1.69,14472.0,United Kingdom,13.52,0,0,13.52
109,540511,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-09 11:34:00,1.69,14472.0,United Kingdom,13.52,0,0,13.52
110,540539,84879,ASSORTED COLOUR BIRD ORNAMENT,48,2011-01-09 14:42:00,1.69,18260.0,United Kingdom,81.12,0,0,81.12
111,540604,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-01-10 11:38:00,1.69,15326.0,United Kingdom,27.04,0,0,27.04
112,540635,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-10 12:03:00,1.69,14229.0,United Kingdom,13.52,0,0,13.52
113,540647,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-10 14:57:00,1.69,17406.0,United Kingdom,13.52,0,0,13.52
114,540662,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2011-01-10 15:16:00,1.69,13767.0,United Kingdom,54.08,0,0,54.08
115,540687,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-01-10 17:18:00,1.69,15867.0,United Kingdom,27.04,0,0,27.04
116,540701,84879,ASSORTED COLOUR BIRD ORNAMENT,160,2011-01-11 09:48:00,1.45,15640.0,United Kingdom,232.0,0,0,232.0
117,540704,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-11 10:04:00,1.69,17742.0,United Kingdom,13.52,0,0,13.52
118,540801,84879,ASSORTED COLOUR BIRD ORNAMENT,40,2011-01-11 12:25:00,1.69,12540.0,Spain,67.6,0,1,67.6
119,540827,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-01-11 14:15:00,1.69,17569.0,United Kingdom,40.56,0,0,40.56
120,540839,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-11 15:42:00,1.69,16791.0,United Kingdom,13.52,0,0,13.52
121,540840,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-11 15:42:00,1.69,16235.0,United Kingdom,13.52,0,0,13.52
122,540915,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-01-12 12:00:00,1.69,13267.0,United Kingdom,27.04,0,0,27.04
123,540981,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-12 15:25:00,1.69,12868.0,United Kingdom,13.52,0,0,13.52
124,540986,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-12 16:14:00,1.69,15291.0,United Kingdom,13.52,0,0,13.52
125,541011,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-13 11:26:00,1.69,15447.0,United Kingdom,13.52,0,0,13.52
126,541014,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2011-01-13 11:54:00,1.69,14085.0,United Kingdom,10.14,0,0,10.14
127,541015,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-13 11:57:00,1.69,16315.0,United Kingdom,13.52,0,0,13.52
128,541172,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-14 11:47:00,1.69,13854.0,United Kingdom,13.52,0,0,13.52
129,541213,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-14 13:28:00,1.69,15033.0,United Kingdom,13.52,0,0,13.52
130,541213,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-14 13:28:00,1.69,15033.0,United Kingdom,13.52,0,0,13.52
131,541241,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2011-01-16 11:08:00,1.69,13782.0,United Kingdom,6.76,0,0,6.76
132,541268,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-17 10:52:00,1.69,12872.0,United Kingdom,13.52,0,0,13.52
133,541274,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-17 11:24:00,1.69,15696.0,United Kingdom,13.52,0,0,13.52
134,541291,84879,ASSORTED COLOUR BIRD ORNAMENT,9,2011-01-17 13:25:00,1.69,14667.0,United Kingdom,15.21,0,0,15.209999999999999
135,541484,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-18 12:46:00,1.69,16814.0,United Kingdom,13.52,0,0,13.52
136,541588,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-19 14:43:00,1.69,14307.0,United Kingdom,13.52,0,0,13.52
137,541606,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-01-20 09:25:00,1.69,14784.0,United Kingdom,40.56,0,0,40.56
138,541732,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-01-21 11:34:00,1.69,16387.0,United Kingdom,40.56,0,0,40.56
139,541839,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-01-23 11:15:00,1.69,17769.0,United Kingdom,40.56,0,0,40.56
140,541843,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2011-01-23 12:08:00,1.69,13659.0,United Kingdom,3.38,0,0,3.38
141,541843,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-23 12:08:00,1.69,13659.0,United Kingdom,13.52,0,0,13.52
142,541874,84879,ASSORTED COLOUR BIRD ORNAMENT,160,2011-01-24 10:01:00,1.45,15497.0,United Kingdom,232.0,0,0,232.0
143,541947,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2011-01-24 11:56:00,1.69,18161.0,United Kingdom,54.08,0,0,54.08
144,541966,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-01-24 13:35:00,1.69,13854.0,United Kingdom,27.04,0,0,27.04
145,542087,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-01-25 12:35:00,1.69,14849.0,United Kingdom,40.56,0,0,40.56
146,542110,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-25 13:46:00,1.69,14189.0,United Kingdom,13.52,0,0,13.52
147,542231,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-26 13:40:00,1.69,16714.0,United Kingdom,13.52,0,0,13.52
148,542231,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-26 13:40:00,1.69,16714.0,United Kingdom,13.52,0,0,13.52
149,542241,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-26 14:51:00,1.69,16409.0,United Kingdom,13.52,0,0,13.52
150,542277,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-27 10:30:00,1.69,14440.0,United Kingdom,13.52,0,0,13.52
151,542353,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-27 12:19:00,1.69,16700.0,United Kingdom,13.52,0,0,13.52
152,542503,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-28 11:58:00,1.69,16327.0,United Kingdom,13.52,0,0,13.52
153,542526,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-28 12:43:00,1.69,14659.0,United Kingdom,13.52,0,0,13.52
154,542530,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-01-28 13:08:00,1.69,15365.0,United Kingdom,27.04,0,0,27.04
155,542603,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-01-30 12:09:00,1.69,16985.0,United Kingdom,27.04,0,0,27.04
156,542617,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-30 15:48:00,1.69,17463.0,United Kingdom,13.52,0,0,13.52
157,542629,84879,ASSORTED COLOUR BIRD ORNAMENT,160,2011-01-31 09:57:00,1.45,12731.0,France,232.0,0,1,232.0
158,542634,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-31 10:42:00,1.69,15448.0,United Kingdom,13.52,0,0,13.52
159,542648,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-01-31 11:46:00,1.69,12476.0,Germany,40.56,0,1,40.56
160,542691,84879,ASSORTED COLOUR BIRD ORNAMENT,160,2011-01-31 12:34:00,1.45,13408.0,United Kingdom,232.0,0,0,232.0
161,542716,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-01-31 14:02:00,1.69,16407.0,United Kingdom,13.52,0,0,13.52
162,542717,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2011-01-31 14:07:00,1.69,17580.0,United Kingdom,5.07,0,0,5.07
163,542719,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2011-01-31 14:18:00,1.69,17619.0,United Kingdom,3.38,0,0,3.38
164,542719,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-01-31 14:18:00,1.69,17619.0,United Kingdom,1.69,0,0,1.69
165,542778,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-02-01 09:01:00,1.69,14496.0,United Kingdom,13.52,0,0,13.52
166,542789,84879,ASSORTED COLOUR BIRD ORNAMENT,160,2011-02-01 10:38:00,1.45,17511.0,United Kingdom,232.0,0,0,232.0
167,542795,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-02-01 10:59:00,1.69,18055.0,United Kingdom,40.56,0,0,40.56
168,542868,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-02-01 12:25:00,1.69,16419.0,United Kingdom,40.56,0,0,40.56
169,542869,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-02-01 12:27:00,1.69,17035.0,United Kingdom,13.52,0,0,13.52
170,542886,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-02-01 13:09:00,1.69,16515.0,United Kingdom,40.56,0,0,40.56
171,542893,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-02-01 13:36:00,1.69,18202.0,United Kingdom,27.04,0,0,27.04
172,542905,84879,ASSORTED COLOUR BIRD ORNAMENT,40,2011-02-01 15:11:00,1.69,12540.0,Spain,67.6,0,1,67.6
173,542930,84879,ASSORTED COLOUR BIRD ORNAMENT,160,2011-02-02 10:41:00,1.45,14233.0,United Kingdom,232.0,0,0,232.0
174,542932,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2011-02-02 10:54:00,1.69,13089.0,United Kingdom,54.08,0,0,54.08
175,542996,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-02-02 12:10:00,1.69,15046.0,United Kingdom,40.56,0,0,40.56
176,543003,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-02-02 12:38:00,1.69,14312.0,United Kingdom,13.52,0,0,13.52
177,543048,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-02-03 09:58:00,1.69,12600.0,Germany,13.52,0,1,13.52
178,543108,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-02-03 12:37:00,1.69,14085.0,United Kingdom,13.52,0,0,13.52
179,543111,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-02-03 12:44:00,1.69,15719.0,United Kingdom,13.52,0,0,13.52
180,543235,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-02-04 13:30:00,1.69,14462.0,United Kingdom,13.52,0,0,13.52
181,543273,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2011-02-06 11:29:00,1.69,16456.0,United Kingdom,5.07,0,0,5.07
182,543282,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-02-06 16:08:00,1.69,12956.0,United Kingdom,13.52,0,0,13.52
183,543293,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-02-07 11:20:00,1.69,17613.0,United Kingdom,13.52,0,0,13.52
184,543483,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-02-09 09:10:00,1.69,18075.0,United Kingdom,13.52,0,0,13.52
185,543486,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-02-09 10:24:00,1.69,13319.0,United Kingdom,13.52,0,0,13.52
186,543548,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-02-10 09:21:00,1.69,13706.0,United Kingdom,13.52,0,0,13.52
