,InvoiceDate,item_sku,Quantity,TotalPrice,Week,Weekday,Day,UnitPrice
99,2010-12-19,79321,24,102.0,50,6,19,4.25
100,2010-12-19,84879,8,13.52,50,6,19,1.69
101,2010-12-20,21137,6,22.5,51,0,20,3.75
102,2010-12-20,22086,40,102.0,51,0,20,2.55
103,2010-12-20,22423,81,946.3499999999999,51,0,20,11.683333333333332
104,2010-12-20,47566,11,51.15,51,0,20,4.6499999999999995
105,2010-12-20,79321,33,146.55,51,0,20,4.440909090909091
106,2010-12-21,22086,16,47.2,51,1,21,2.95
107,2010-12-21,22423,3,38.25,51,1,21,12.75
108,2010-12-21,47566,1,4.65,51,1,21,4.65
109,2010-12-21,84879,24,40.56,51,1,21,1.6900000000000002
110,2010-12-22,22423,1,12.75,51,2,22,12.75
111,2010-12-22,47566,3,13.950000000000001,51,2,22,4.65
112,2010-12-23,21137,48,162.72,51,3,23,3.39
113,2010-12-23,22423,2,25.5,51,3,23,12.75
114,2010-12-23,79321,24,102.0,51,3,23,4.25
115,2010-12-23,84879,16,27.04,51,3,23,1.69
116,2011-01-04,21137,29,100.11,1,1,4,3.4520689655172414
117,2011-01-04,22386,30,58.5,1,1,4,1.95
118,2011-01-04,22423,26,302.7,1,1,4,11.642307692307693
119,2011-01-04,47566,65,248.25,1,1,4,3.8192307692307694
120,2011-01-04,79321,63,278.25,1,1,4,4.416666666666667
121,2011-01-04,84879,72,121.67999999999999,1,1,4,1.69
122,2011-01-05,22386,200,330.0,1,2,5,1.65
123,2011-01-05,22423,20,226.2,1,2,5,11.309999999999999
124,2011-01-05,47566,50,187.5,1,2,5,3.75
126,2011-01-05,84879,232,392.08,1,2,5,1.69
127,2011-01-06,21137,48,162.72,1,3,6,3.39
128,2011-01-06,22386,45,87.75,1,3,6,1.95
129,2011-01-06,22423,72,802.8,1,3,6,11.149999999999999
130,2011-01-06,47566,18,83.7,1,3,6,4.65
131,2011-01-06,79321,192,832.8,1,3,6,4.3374999999999995
132,2011-01-06,84879,88,148.72,1,3,6,1.69
133,2011-01-07,21137,100,340.44,1,4,7,3.4044
134,2011-01-07,22386,230,388.5,1,4,7,1.6891304347826086
135,2011-01-07,22423,87,965.2499999999999,1,4,7,11.094827586206895
136,2011-01-07,47566,9,41.85,1,4,7,4.65
137,2011-01-07,79321,72,306.0,1,4,7,4.25
138,2011-01-07,84879,24,40.56,1,4,7,1.6900000000000002
139,2011-01-09,22386,34,66.3,1,6,9,1.95
140,2011-01-09,22423,32,379.2,1,6,9,11.85
141,2011-01-09,79321,42,184.1,1,6,9,4.383333333333333
142,2011-01-09,84879,64,108.16,1,6,9,1.69
143,2011-01-10,22386,20,39.0,2,0,10,1.95
144,2011-01-10,22423,53,618.15,2,0,10,11.663207547169812
145,2011-01-10,47566,10,46.5,2,0,10,4.65
146,2011-01-10,79321,1,4.95,2,0,10,4.95
147,2011-01-10,84879,80,135.2,2,0,10,1.69
148,2011-01-11,21137,17,63.75,2,1,11,3.75
149,2011-01-11,22386,10,19.5,2,1,11,1.95
150,2011-01-11,22423,39,439.65,2,1,11,11.273076923076923
151,2011-01-11,47566,16,74.4,2,1,11,4.65
152,2011-01-11,79321,4,19.8,2,1,11,4.95
153,2011-01-11,84879,248,380.71999999999997,2,1,11,1.5351612903225804
154,2011-01-12,21137,3,11.25,2,2,12,3.75
155,2011-01-12,22423,32,379.2,2,2,12,11.85
156,2011-01-12,47566,23,106.95,2,2,12,4.65
157,2011-01-12,79321,83,360.45,2,2,12,4.3427710843373495
158,2011-01-12,84879,32,54.08,2,2,12,1.69
159,2011-01-13,22386,213,355.35,2,3,13,1.6683098591549297
160,2011-01-13,22423,68,751.8,2,3,13,11.055882352941175
161,2011-01-13,47566,9,41.85,2,3,13,4.65
162,2011-01-13,84879,22,37.18,2,3,13,1.69
163,2011-01-14,22386,40,78.0,2,4,14,1.95
165,2011-01-14,79321,48,204.0,2,4,14,4.25
166,2011-01-14,84879,24,40.56,2,4,14,1.6900000000000002
167,2011-01-16,22386,13,25.35,2,6,16,1.9500000000000002
168,2011-01-16,22423,9,114.75,2,6,16,12.75
169,2011-01-16,79321,36,157.2,2,6,16,4.366666666666666
170,2011-01-16,84879,4,6.76,2,6,16,1.69
171,2011-01-17,21137,8,30.0,3,0,17,3.75
172,2011-01-17,22386,20,39.0,3,0,17,1.95
173,2011-01-17,22423,19,213.45,3,0,17,11.234210526315788
174,2011-01-17,47566,20,93.0,3,0,17,4.65
175,2011-01-17,79321,32,141.6,3,0,17,4.425
176,2011-01-17,84879,25,42.25,3,0,17,1.69
177,2011-01-18,21137,8,30.0,3,1,18,3.75
178,2011-01-18,22386,2,3.9,3,1,18,1.95
179,2011-01-18,22423,17,187.95,3,1,18,11.055882352941175
181,2011-01-18,47566,5,23.25,3,1,18,4.65
182,2011-01-18,79321,4,19.8,3,1,18,4.95
183,2011-01-18,84879,8,13.52,3,1,18,1.69
184,2011-01-19,21137,4,15.0,3,2,19,3.75
185,2011-01-19,22386,16,31.2,3,2,19,1.95
186,2011-01-19,22423,1,12.75,3,2,19,12.75
187,2011-01-19,47566,5,23.25,3,2,19,4.65
188,2011-01-19,79321,24,102.0,3,2,19,4.25
189,2011-01-19,84879,8,13.52,3,2,19,1.69
190,2011-01-20,22423,11,140.25,3,3,20,12.75
191,2011-01-20,47566,5,23.25,3,3,20,4.65
192,2011-01-20,79321,98,376.61999999999995,3,3,20,3.8430612244897953
193,2011-01-20,84879,24,40.56,3,3,20,1.6900000000000002
194,2011-01-21,22386,2,3.9,3,4,21,1.95
195,2011-01-21,22423,23,264.45,3,4,21,11.497826086956522
196,2011-01-21,47566,10,46.5,3,4,21,4.65
197,2011-01-21,84879,24,40.56,3,4,21,1.6900000000000002
198,2011-01-23,22386,11,21.45,3,6,23,1.95
199,2011-01-23,22423,35,388.65,3,6,23,11.104285714285714
200,2011-01-23,47566,13,60.45,3,6,23,4.65
201,2011-01-23,79321,4,19.8,3,6,23,4.95
202,2011-01-23,84879,34,57.46,3,6,23,1.69
203,2011-01-24,22386,10,19.5,4,0,24,1.95
204,2011-01-24,22423,54,602.0999999999999,4,0,24,11.149999999999999
205,2011-01-24,47566,15,69.75,4,0,24,4.65
206,2011-01-24,79321,12,59.400000000000006,4,0,24,4.95
207,2011-01-24,84879,208,313.12,4,0,24,1.5053846153846153
208,2011-01-25,22386,90,166.5,4,1,25,1.85
209,2011-01-25,22423,74,828.3,4,1,25,11.193243243243243
210,2011-01-25,47566,67,266.55,4,1,25,3.978358208955224
211,2011-01-25,79321,4,19.8,4,1,25,4.95
212,2011-01-25,84879,32,54.08,4,1,25,1.69
213,2011-01-26,22386,20,39.0,4,2,26,1.95
214,2011-01-26,22423,18,229.5,4,2,26,12.75
215,2011-01-26,47566,5,23.25,4,2,26,4.65
216,2011-01-26,79321,28,121.8,4,2,26,4.35
217,2011-01-26,84879,24,40.56,4,2,26,1.6900000000000002
218,2011-01-27,22386,37,72.15,4,3,27,1.9500000000000002
219,2011-01-27,22423,56,685.2,4,3,27,12.235714285714286
220,2011-01-27,47566,20,93.0,4,3,27,4.65
221,2011-01-27,79321,50,213.9,4,3,27,4.2780000000000005
222,2011-01-27,84879,16,27.04,4,3,27,1.69
223,2011-01-28,22386,20,39.0,4,4,28,1.95
224,2011-01-28,22423,12,153.0,4,4,28,12.75
225,2011-01-28,47566,50,187.5,4,4,28,3.75
226,2011-01-28,79321,4,19.8,4,4,28,4.95
227,2011-01-28,84879,32,54.08,4,4,28,1.69
228,2011-01-30,21137,3,11.25,4,6,30,3.75
229,2011-01-30,22386,10,19.5,4,6,30,1.95
230,2011-01-30,22423,3,38.25,4,6,30,12.75
231,2011-01-30,47566,5,23.25,4,6,30,4.65
232,2011-01-30,84879,24,40.56,4,6,30,1.6900000000000002
233,2011-01-31,21137,8,30.0,5,0,31,3.75
234,2011-01-31,22423,4,51.0,5,0,31,12.75
235,2011-01-31,47566,12,55.8,5,0,31,4.6499999999999995
236,2011-01-31,79321,7,34.650000000000006,5,0,31,4.950000000000001
237,2011-01-31,84879,366,541.74,5,0,31,1.4801639344262296
238,2011-02-01,21137,24,81.36,5,1,1,3.39
239,2011-02-01,22386,5,9.75,5,1,1,1.95
240,2011-02-01,22423,15,191.25,5,1,1,12.75
241,2011-02-01,47566,112,430.8,5,1,1,3.8464285714285715
242,2011-02-01,79321,4,19.8,5,1,1,4.95
243,2011-02-01,84879,304,475.36,5,1,1,1.5636842105263158
244,2011-02-02,21137,76,259.08000000000004,5,2,2,3.408947368421053
245,2011-02-02,22386,24,46.8,5,2,2,1.95
246,2011-02-02,22423,29,340.95,5,2,2,11.756896551724138
247,2011-02-02,47566,5,23.25,5,2,2,4.65
248,2011-02-02,79321,24,102.0,5,2,2,4.25
249,2011-02-02,84879,224,340.16,5,2,2,1.5185714285714287
251,2011-02-03,22386,50,97.5,5,3,3,1.95
252,2011-02-03,22423,65,742.3499999999999,5,3,3,11.42076923076923
253,2011-02-03,47566,15,69.75,5,3,3,4.65
254,2011-02-03,79321,24,118.80000000000001,5,3,3,4.95
255,2011-02-03,84879,24,40.56,5,3,3,1.6900000000000002
256,2011-02-04,21137,4,15.0,5,4,4,3.75
257,2011-02-04,22386,100,165.0,5,4,4,1.65
258,2011-02-04,22423,23,264.45,5,4,4,11.497826086956522
259,2011-02-04,47566,51,212.45000000000002,5,4,4,4.165686274509804
260,2011-02-04,79321,24,118.80000000000001,5,4,4,4.95
261,2011-02-04,84879,8,13.52,5,4,4,1.69
262,2011-02-06,22386,30,58.5,5,6,6,1.95
263,2011-02-06,22423,3,38.25,5,6,6,12.75
264,2011-02-06,47566,19,94.05000000000001,5,6,6,4.95
265,2011-02-06,84879,11,18.59,5,6,6,1.69
266,2011-02-07,22386,31,60.45,6,0,7,1.9500000000000002
267,2011-02-07,22423,10,127.5,6,0,7,12.75
268,2011-02-07,47566,21,102.45,6,0,7,4.878571428571429
269,2011-02-07,79321,15,86.25,6,0,7,5.75
270,2011-02-07,84879,8,13.52,6,0,7,1.69
271,2011-02-08,22386,6,11.7,6,1,8,1.95
272,2011-02-08,22423,3,38.25,6,1,8,12.75
273,2011-02-08,47566,9,44.550000000000004,6,1,8,4.95
274,2011-02-08,79321,1,5.75,6,1,8,5.75
275,2011-02-09,22386,10,19.5,6,2,9,1.95
276,2011-02-09,22423,4,51.0,6,2,9,12.75
277,2011-02-09,47566,104,394.8,6,2,9,3.7961538461538464
278,2011-02-09,79321,4,23.0,6,2,9,5.75
279,2011-02-09,84879,16,27.04,6,2,9,1.69
280,2011-02-10,22386,11,21.45,6,3,10,1.95
281,2011-02-10,22423,34,404.7,6,3,10,11.902941176470588
282,2011-02-10,47566,37,181.65,6,3,10,4.90945945945946
283,2011-02-10,79321,5,28.75,6,3,10,5.75
284,2011-02-10,84879,72,121.67999999999999,6,3,10,1.69
285,2011-02-11,22386,23,44.85,6,4,11,1.95
286,2011-02-11,22423,49,538.3499999999999,6,4,11,10.98673469387755
287,2011-02-11,47566,108,414.6,6,4,11,3.838888888888889
288,2011-02-11,79321,144,628.8,6,4,11,4.366666666666666
289,2011-02-11,84879,32,54.08,6,4,11,1.69
290,2011-02-13,22423,19,213.45,6,6,13,11.234210526315788
291,2011-02-13,47566,4,19.8,6,6,13,4.95
292,2011-02-13,79321,11,63.25,6,6,13,5.75
293,2011-02-13,84879,24,40.56,6,6,13,1.6900000000000002
294,2011-02-14,21137,12,45.0,7,0,14,3.75
295,2011-02-14,22386,300,495.0,7,0,14,1.65
296,2011-02-14,22423,88,963.5999999999999,7,0,14,10.95
297,2011-02-14,47566,4,19.8,7,0,14,4.95
298,2011-02-14,84879,212,319.88,7,0,14,1.5088679245283019
299,2011-02-15,22386,30,58.5,7,1,15,1.95
301,2011-02-15,47566,6,29.7,7,1,15,4.95
302,2011-02-15,79321,145,718.5500000000001,7,1,15,4.955517241379311
303,2011-02-15,84879,84,141.95999999999998,7,1,15,1.6899999999999997
304,2011-02-16,21137,24,81.36,7,2,16,3.39
305,2011-02-16,22386,10,19.5,7,2,16,1.95
306,2011-02-16,22423,43,490.65,7,2,16,11.410465116279068
307,2011-02-16,47566,141,617.95,7,2,16,4.3826241134751776
308,2011-02-16,79321,24,118.80000000000001,7,2,16,4.95
309,2011-02-16,84879,156,263.64,7,2,16,1.69
310,2011-02-17,21137,4,15.0,7,3,17,3.75
311,2011-02-17,22386,1,1.95,7,3,17,1.95
312,2011-02-17,22423,40,452.4,7,3,17,11.309999999999999
313,2011-02-17,47566,7,34.65,7,3,17,4.95
314,2011-02-17,79321,54,281.70000000000005,7,3,17,5.216666666666668
315,2011-02-17,84879,24,40.56,7,3,17,1.6900000000000002
316,2011-02-18,22386,33,64.35,7,4,18,1.9499999999999997
317,2011-02-18,22423,11,140.25,7,4,18,12.75
318,2011-02-18,47566,8,39.6,7,4,18,4.95
319,2011-02-18,79321,72,356.40000000000003,7,4,18,4.95
320,2011-02-18,84879,80,135.2,7,4,18,1.69
321,2011-02-20,22386,11,21.45,7,6,20,1.95
322,2011-02-20,22423,53,589.3499999999999,7,6,20,11.119811320754716
323,2011-02-20,47566,5,24.75,7,6,20,4.95
324,2011-02-20,79321,1,5.75,7,6,20,5.75
325,2011-02-20,84879,8,13.52,7,6,20,1.69
326,2011-02-21,21137,16,60.0,8,0,21,3.75
327,2011-02-21,22423,72,802.8,8,0,21,11.149999999999999
328,2011-02-21,79321,8,46.0,8,0,21,5.75
329,2011-02-21,84879,40,67.6,8,0,21,1.69
330,2011-02-22,21137,48,162.72,8,1,22,3.39
331,2011-02-22,22086,2,5.9,8,1,22,2.95
332,2011-02-22,22386,200,330.0,8,1,22,1.65
333,2011-02-22,22423,26,302.7,8,1,22,11.642307692307693
334,2011-02-22,47566,10,49.5,8,1,22,4.95
335,2011-02-22,79321,6,34.5,8,1,22,5.75
336,2011-02-22,84879,40,67.6,8,1,22,1.69
337,2011-02-23,22386,10,19.5,8,2,23,1.95
338,2011-02-23,22423,23,264.45,8,2,23,11.497826086956522
339,2011-02-23,47566,62,266.90000000000003,8,2,23,4.30483870967742
340,2011-02-23,84879,96,162.24,8,2,23,1.6900000000000002
341,2011-02-24,21137,4,15.0,8,3,24,3.75
342,2011-02-24,22386,40,78.0,8,3,24,1.95
343,2011-02-24,22423,40,452.4,8,3,24,11.309999999999999
344,2011-02-24,47566,24,118.80000000000001,8,3,24,4.95
345,2011-02-24,79321,24,138.0,8,3,24,5.75
346,2011-02-24,84879,32,54.08,8,3,24,1.69
347,2011-02-25,22386,3,5.85,8,4,25,1.95
348,2011-02-25,22423,24,306.0,8,4,25,12.75
349,2011-02-25,47566,13,64.35,8,4,25,4.949999999999999
350,2011-02-25,79321,24,118.80000000000001,8,4,25,4.95
351,2011-02-25,84879,24,40.56,8,4,25,1.6900000000000002
352,2011-02-27,22423,4,51.0,8,6,27,12.75
353,2011-02-27,47566,27,133.65,8,6,27,4.95
354,2011-02-27,79321,1,5.75,8,6,27,5.75
355,2011-02-27,84879,96,162.24,8,6,27,1.6900000000000002
356,2011-02-28,22386,61,118.95,9,0,28,1.95
357,2011-02-28,22423,11,140.25,9,0,28,12.75
358,2011-02-28,47566,18,89.1,9,0,28,4.949999999999999
359,2011-02-28,79321,4,23.0,9,0,28,5.75
360,2011-02-28,84879,4,6.76,9,0,28,1.69
361,2011-03-01,22086,4,11.8,9,1,1,2.95
362,2011-03-01,22386,80,156.0,9,1,1,1.95
363,2011-03-01,22423,5,63.75,9,1,1,12.75
364,2011-03-01,47566,21,103.95,9,1,1,4.95
365,2011-03-01,79321,24,118.80000000000001,9,1,1,4.95
366,2011-03-01,84879,24,40.56,9,1,1,1.6900000000000002
367,2011-03-02,22086,40,102.0,9,2,2,2.55
368,2011-03-02,22386,4,7.8,9,2,2,1.95
370,2011-03-02,47566,76,336.20000000000005,9,2,2,4.423684210526316
371,2011-03-02,84879,6,10.14,9,2,2,1.6900000000000002
372,2011-03-03,22386,14,27.3,9,3,3,1.95
373,2011-03-03,22423,70,834.9,9,3,3,11.927142857142856
374,2011-03-03,47566,24,118.80000000000001,9,3,3,4.95
375,2011-03-03,79321,6,34.5,9,3,3,5.75
376,2011-03-03,84879,40,67.6,9,3,3,1.69
377,2011-03-04,22386,11,21.45,9,4,4,1.95
378,2011-03-04,22423,10,127.5,9,4,4,12.75
379,2011-03-04,47566,2,9.9,9,4,4,4.95
380,2011-03-04,79321,4,23.0,9,4,4,5.75
381,2011-03-04,84879,72,121.67999999999999,9,4,4,1.69
382,2011-03-06,22423,19,213.45,9,6,6,11.234210526315788
383,2011-03-06,47566,9,44.550000000000004,9,6,6,4.95
384,2011-03-06,84879,43,72.67,9,6,6,1.69
385,2011-03-07,22386,145,252.75,10,0,7,1.743103448275862
386,2011-03-07,22423,14,178.5,10,0,7,12.75
387,2011-03-07,47566,17,84.15,10,0,7,4.95
388,2011-03-07,79321,109,549.95,10,0,7,5.045412844036698
389,2011-03-07,84879,192,286.08,10,0,7,1.49
390,2011-03-08,22086,1,2.95,10,1,8,2.95
391,2011-03-08,22386,82,159.9,10,1,8,1.9500000000000002
392,2011-03-08,22423,38,426.9,10,1,8,11.234210526315788
393,2011-03-08,47566,15,74.25,10,1,8,4.95
394,2011-03-08,79321,28,141.8,10,1,8,5.064285714285715
395,2011-03-08,84879,80,135.2,10,1,8,1.69
396,2011-03-09,22386,22,42.9,10,2,9,1.95
397,2011-03-09,22423,51,592.65,10,2,9,11.620588235294116
398,2011-03-09,47566,22,108.9,10,2,9,4.95
399,2011-03-09,79321,12,69.0,10,2,9,5.75
400,2011-03-09,84879,40,67.6,10,2,9,1.69
401,2011-03-10,21137,6,22.5,10,3,10,3.75
402,2011-03-10,22386,106,176.7,10,3,10,1.6669811320754715
403,2011-03-10,22423,12,153.0,10,3,10,12.75
404,2011-03-10,47566,20,99.0,10,3,10,4.95
405,2011-03-10,79321,39,195.45000000000002,10,3,10,5.011538461538462
406,2011-03-10,84879,64,108.16,10,3,10,1.69
407,2011-03-11,22386,3,5.85,10,4,11,1.95
408,2011-03-11,22423,34,375.9,10,4,11,11.055882352941175
409,2011-03-11,47566,63,271.85,10,4,11,4.315079365079366
410,2011-03-11,79321,57,282.15,10,4,11,4.949999999999999
411,2011-03-11,84879,216,326.64,10,4,11,1.5122222222222221
412,2011-03-13,47566,2,9.9,10,6,13,4.95
413,2011-03-13,79321,5,28.75,10,6,13,5.75
414,2011-03-13,84879,34,57.46,10,6,13,1.69
415,2011-03-14,22386,20,39.0,11,0,14,1.95
416,2011-03-14,22423,38,426.9,11,0,14,11.234210526315788
417,2011-03-14,47566,93,400.35,11,0,14,4.304838709677419
418,2011-03-14,79321,39,205.05,11,0,14,5.257692307692308
419,2011-03-14,84879,272,421.28,11,0,14,1.5488235294117647
420,2011-03-15,21137,8,30.0,11,1,15,3.75
421,2011-03-15,22386,14,27.299999999999997,11,1,15,1.9499999999999997
422,2011-03-15,22423,9,114.75,11,1,15,12.75
423,2011-03-15,47566,12,59.400000000000006,11,1,15,4.95
424,2011-03-15,79321,8,46.0,11,1,15,5.75
425,2011-03-15,84879,363,536.6700000000001,11,1,15,1.4784297520661158
426,2011-03-16,21137,24,81.36,11,2,16,3.39
427,2011-03-16,22386,110,184.5,11,2,16,1.6772727272727272
428,2011-03-16,22423,59,694.65,11,2,16,11.773728813559321
429,2011-03-16,47566,95,470.25,11,2,16,4.95
430,2011-03-16,79321,6,34.5,11,2,16,5.75
431,2011-03-16,84879,176,297.44,11,2,16,1.69
432,2011-03-17,21137,24,81.36,11,3,17,3.39
434,2011-03-17,22423,61,545.15,11,3,17,8.936885245901639
435,2011-03-17,47566,160,672.0,11,3,17,4.2
436,2011-03-17,84879,64,108.16,11,3,17,1.69
437,2011-03-18,21137,48,162.72,11,4,18,3.39
438,2011-03-18,22386,30,58.5,11,4,18,1.95
439,2011-03-18,22423,68,780.5999999999999,11,4,18,11.479411764705882
440,2011-03-18,47566,74,326.3,11,4,18,4.40945945945946
441,2011-03-18,79321,28,141.8,11,4,18,5.064285714285715
442,2011-03-18,84879,37,62.53,11,4,18,1.69
443,2011-03-20,21137,13,48.75,11,6,20,3.75
444,2011-03-20,22386,40,78.0,11,6,20,1.95
445,2011-03-20,22423,48,554.4,11,6,20,11.549999999999999
446,2011-03-20,47566,146,634.7,11,6,20,4.347260273972603
447,2011-03-20,84879,56,94.64,11,6,20,1.69
448,2011-03-21,22386,140,243.0,12,0,21,1.7357142857142858
449,2011-03-21,22423,43,490.65,12,0,21,11.410465116279068
450,2011-03-21,47566,28,138.60000000000002,12,0,21,4.950000000000001
451,2011-03-21,79321,5,28.75,12,0,21,5.75
452,2011-03-21,84879,122,206.18,12,0,21,1.69
453,2011-03-22,22386,20,39.0,12,1,22,1.95
454,2011-03-22,22423,38,455.7,12,1,22,11.992105263157894
455,2011-03-22,47566,44,217.8,12,1,22,4.95
456,2011-03-22,79321,5,28.75,12,1,22,5.75
457,2011-03-22,84879,69,116.61,12,1,22,1.69
458,2011-03-23,21137,60,207.72,12,2,23,3.462
459,2011-03-23,22386,122,207.9,12,2,23,1.7040983606557378
460,2011-03-23,22423,83,914.2499999999999,12,2,23,11.015060240963853
461,2011-03-23,47566,122,523.9000000000001,12,2,23,4.2942622950819676
462,2011-03-23,79321,10,57.5,12,2,23,5.75
463,2011-03-23,84879,56,94.64,12,2,23,1.69
464,2011-03-24,21137,11,41.25,12,3,24,3.75
465,2011-03-24,22086,40,102.0,12,3,24,2.55
466,2011-03-24,22386,14,27.3,12,3,24,1.95
467,2011-03-24,22423,28,357.0,12,3,24,12.75
468,2011-03-24,47566,17,84.15,12,3,24,4.95
469,2011-03-24,84879,80,135.2,12,3,24,1.69
470,2011-03-25,21137,24,81.36,12,4,25,3.39
471,2011-03-25,22386,271,468.45,12,4,25,1.7285977859778598
472,2011-03-25,22423,29,369.75,12,4,25,12.75
473,2011-03-25,47566,22,108.9,12,4,25,4.95
474,2011-03-25,84879,40,67.6,12,4,25,1.69
