label,tweet
love,"setia mendampingi ibu. berusaha melucu bikin ketawa. menganggap anak 24 kecil. cemburu laki2 gadisnya. ya. cinta sekali,"
sadness,"beda pas sma ya tanah rantau sadar orang bahagia,gak orang tulus"
love,kupeluk engkau erat2 merebut mu pelukan ku happy anniversary sayang #6nov #31months
happy,"terobsesi pacar, gapenting. 17 taun juga, santai ajaaaa :dd ninggalin, cowok2 deketin mba :d"
fear,pakdok komentar efek otak? seringkali dengar celotehan orang sengklek gara-gara kakehan micin.
fear,liat temen-temen kewong . ngeri memikirkan ya kewong dengernya loh . kepikiran takut
happy,"pendidikan mah nomor 1 donk za haha.. btw pilih nyekolahin anak negeri aja, gedein pengeluarannya jalan2.. pendidikan gw, mengalami belajar hahaha"
anger,"ajukan paylater, ditolak alasan rinci. dibantu alasan pastinya? foto ktp info jelas. kriteria traveloka?"
sadness,"reply1988, im not robot, fight for my way, its okay thats cinta, goblin kayaknya suka mewek drama ditinggal meninggal gitu. cengeng:')"
fear,takut mama abis belanja2 belanja pakai tabungan mama ngomel menyesal belanja online
love,"semoga sehat selalu, terpenting sayang cinta , followers kenal keluarga we are family i cinta you"
happy,amin amin mba dew :) tidak-merasakan sensasi lahiran tidak-tahu progresnya hehe
fear,"bedanya si adik suka bau2 kesehatan niat lah. daptar2 maklum pas takut kuliah, berasa si kuliah passion. kesan nya budak nilai."
anger,"bpip pentingnya.bpip mmberi tokoh bangsa.tempat terhormat.bpip penting. hidupkan peljaran budi pekerti,ppkn pmp.cukup bekal esok."
anger,"lahir bong, mak mu... biar jelas.... pki zaman soekarno bong berlanjut orba basmi, salahsatunya keluargamu ya??"
love,"lihat kasmaran bicara cinta, nyengir hati ""belum rassanya baby xd"" berjuta kali lipattttttttttttttttttttttttt merasakan cinta rasakan :d"
fear,"disemua melaksanakan sholat, salah satunya bangunan didirikan kekafiran (salah satunya gereja). berlindung allaah swt. godaan setan terkutuk"
sadness,protes warga terima anaknya diterima masuk sma negeri kualitas sekolah negeri anak2nya sukses. biayanya murah. benar2 zaman sulit.
happy,.. bersyukur .. berbagi berjuang mencari ikhlas .. mengucap syukur alhamdulillah .. semoga bermanfaat terima kasih
fear,"takfiri? ya allah, engkau rabb kami, bersandar pertolongan. berlepas orang-orang mempersekutukanmu apapun."
fear,"cepat2 capcus nicch warga jakarta mudik arah jawa sumatera jumat, 8 juni 2018."
anger,"fadli zon yakin, ""pada dasarnya bibit-bibit teroris indonesia"". kelompok ngaceng kekuasaan jualan ***ga"
sadness,"00.15 lapar jam segini jakarta gampang cari makan, disini? makanan sisa buka bersyukur iya, lapar"
sadness,"kasihan mama hulk ijo bah, membesarkan anak nyali shg pakai akun anonim. badan otak kosong."
sadness,"me: gila ya orang-orang itu, tetiba hujan deras lapangan penonton ambil jaket buka payung fokus menonton teman: gila mana? rela terbang jkt-paris menonton tennis? me hati: iya ya"
anger,"sekian thread baca, thread aneh sih penulisan. sumpah aneh bgt, ngatain ""lebay"" bikin thread hadeh. jago nulis, tulisan seberantakan thread mbaknya."
sadness,"membohongi mempercayai kamu, percaya berbohong kamu. #terjemahanbebas. (pertanyaannya, lugu gimana dong, kak? bohong enggak. #jadigalau)"
love,"cinta membantumu dimanapun memintanya,"
sadness,ah sedih strong sel -adit
anger,gobloknya bangsa kita. waste system sampah jerman tolong gub+wagub temuin mas konsep penanganan sampah integrated beliau. rencana presentasikan
sadness,"melawan perasaan, paham titik ditentukan. menyalahkan mempersilahkan masuk, memilih menyalahkan salah niat bertamu sekedar."
love,"dirimu, hati plong ku mempetahankan dirimu rasaku adalah........... sejatiku...!!! penuh cinta"
love,"bagimana jika, dapatkan benar-benar untukmu, mendapati cinta diam, mencintaimu, diam."
happy,"oh iya tuh mesti bikin mold bentuk panda hahahaha, nya bikin marble soap nis kayak gini"
happy,pastinya donk! semangat ya feminis muda belajar ict nya olvyt
anger,"manusia rakus bunda, menteri advokat dirampok juga, rahasia negara istana orba, bandit bingit"
anger,jalan aga ramai orang jualan. liat dagang baju. baju tulisannya #gantipresiden2019 gila mesti sih kaya gitunya? kadang bingung ya orang indonesia. bersyukurnya
happy,"bahagia. gimanapun persepsi orang bahagia, bahagiamu beda persepsi orang2, bahagia kamu. orang ngerasain, merasakan bahagia kamu."
sadness,"ku bingung deh fans menjatuhkan idola orang sih? damai2 aja, kek kerjaan ngejatuh2in orang"
love,"bicara kiya : dek, doain mama ya dek, blablabla. dek kiya bantu doa ya. : *manggut-manggut, senyum"". tulus mukanya. ngerti dimaksud, bilang doain ya dek senyum"" peluk."
anger,"orang digituin pakai hijab, penyanyi dangdut, berpakian tertutup. orang bela, via vallen penyanyi dangdut terkenal 'gay seksi', she deserved to be sexually harrased?"
anger,ngaku ci haha enga enak -_-
fear,"bodoh gue, telat sadar menutup aurat ya loh. bodo d rumah sendiri, tamu non mahram dateng. tiba2 sepupu laki2 dateng."
sadness,"kaya orang jaman ya dok, keliatannya tegar nothing happens butuh taking care first sejatinya broken inside"
anger,"tangkepin polisi, nolongin. kasihan, ya sih jamaah nya bloon, ditipu pakai ayat al-qur'an. jual beli ayat syahwat kekuasaan."
sadness,"didepan badai besar, bhkan melenyapkan ku yakini salama ketidakmungkinan semogakan"
love,"qyara tau, ibumu sosok terpenting perjalanan hidupku. merubah ku berfikir bertindak. menekan ego amarahku. mengenalkan ku arti mencintai menghargai. berterimakasih pdnya."
anger,"yo yo wes sampean , bener, lagi. awas"
fear,"smp gini kejadiannya pas istirahat sekolah. penasaran telunjuk staples. pas nancep, kaya matung takut. teman liat langsung jerit2 sekelas heboh. trauma liat staples"
anger,"orang kaya/terkenal makan warung digratisin, orang biasa/miskin disuruh bayar gimana kaya kaya miskin miskin -_-"
love,dear abang sayang semoga betah agensi barunya. mendukung apapun keputusanmu. percaya pilih. cinta you oke taecyeon #2pm #hottest #indonesia
love,"sungguh indahnya ciptaan sang tuhan!, terpesona garis senyum manismu sayang"
fear,"jam 2 malam nonton video video penampakan yutup, takut sih, lampu rumah matiin semua."
sadness,"*ngbrol gaji* atasan aing : sih ndre detail gajimu? jelasin **** aing: pak, nanyain gaji marahin atasan aing:....... aing:......... savage *langsung backsound mobile legend"
sadness,"innalilahi wainnailaihi raji'un, semoga amal ibadah beliau diterimah diridloi allah swt. semoga penjeblos ustadz abb hidayah allah swt, ganjaran setimpal"
sadness,semoga mama bapa rusing teman teman lombok aja. gempa susulan. semoga rinjani lekas evakuasi. #prayforlombok
anger,"sanggup, lambaikan tangan camera bro. jemput. pleaselah stop komen aneh2 negara ini, salah petugas pemerintah tho ???"
sadness,"ampun tuhan, terlampau sibuk membangun mesjid lupa bersujud kepada-mu, fasih membaca kitab suci-mu menemukan-mu.."
anger,belajar agama tuntas nga ngarang hidup. isa disebut2 dialquran jelek2in isa?? baca alquran ga?
fear,takut acc suspend atuh kek. acc suspend suspend masuk kategori suspend permanen
fear,"dipikir pikir teman homo banyak:( teman lesbi, nya respect lesbi waswas aja, blak2an lesbi cewek jomblo seumur hidupnya takut sukanya cewek"
happy,kaya jam 2*x sesi jelasin orang korea *cie*...sampe pakai dramain biat nyambung... ngerti temu padanan korea.. lupa bahas koreanya cie hahahhaa
happy,rakit merakit ...jangan lupa bahagia... #streetcubeastborneo #streetcubbalikpapan #janganlupabahagia #streetcubkaltim #streetcubfans #streetcub_bpp #streetcub
fear,ngeri pas berbela sungkawa niat hati mengirimkan emot sedih dipencet emot tertawa terbahak bahak.
fear,"tapiiiiiiiiiii. takut banget, takut abis lulus sih berjuang sendiri, cari kerja sendiri, benahin ngurangin orangtua"
sadness,terkadang perduli motivasi bikin sakit hati. sekira nya nerimain mah oke. terserah. kecewa bodo amat. serius. atur
happy,wuish tungguin nih film nya... bikin film superhero kirim negara tetangga lagi. biar film indonesia trend.
love,mas hamdan istrinya manja rewel hamil. alhamdulillah hamil mas ngerti kadang suka geleng bosan jatuh cinta istrimu mas
anger,"serius ya, ngumbar ngember nama debitur media, melanggar pbi kerahasiaan nasabah?"
happy,"chara fleksibel sebenernya, caoer pakai chara cepat diwaroh mahluk tl, ya pakai chara cantik ganteng."
fear,bahaya ...mercury....? untung cepat tersadar stop pakai produk2 instan ya. sayangi kulit kesehatan anda. cantik putih utama sehat drw aman mercury ples aman...
anger,"kali temu teman buka bisnis sama, nyontek ijin plagiat....cuy masio gaisok gambar blas ngerti susahnya cari ide desain, bayar mahal orang. laah diaa seenak jidatnya nyontek"
anger,"pas pacar pergi nonton bioskop: orang lain: dih nontonnya pacar mulu, ngajak2 nih. situ ajak *pengen ku sentil amandelnya satu2 :)"
happy,"lirik lagunya rendy pandugo - 7 days banget. intinya ""setiap hubungan perselisihan, just let it flow and let it be. cause to me, you'd be the one that i could see."" epic!"
happy,"all we know of heaven, all we need of hell - pvris (2017) ikuti pvris awal, album lagu2nya mature, sangar, dark, fragile. konsep album + mv + nya keren parah. suka lagu mercy, anyone else, winter"
happy,hayuk ah biar ramai liat acara waisak :)
anger,hadeee membicarakan sesat pikir. mbak sadar pemikirannya verbal harrasment kecermin twit2 ini. anaknya suka digodain pakai tytyd. gimana vv mayoritas cewek selera lo? terima digituin? diem? :(
fear,/rlt cewek sekelas pacar nyeri dihibur gmn? cewek ajak main onet hp mendem marah kali ya?
sadness,"qu sudi koh, disable instagram nyampah explore :"" anak balita diajarin tiktok"
fear,"hidup persimpangannya. bingung arah mana, sisi hidup bebas sisi kepikiran bebas, orang gak?"
happy,"#muktamar18imm kali muktamar 'keren'. muktamar 'sadar' jaman. pemaksimalan website media internet lainnya. countdown acara, regustrasi peserta pendaftaran formatur. keren!"
happy,"tebak tebakan dulu: budi: ikan, ikan bentuknya segitiga? aisyah: ikan sepat budi: ayy aisyah: dong! *mendesak penasaran budi: iiikancut luuu.. nb: hening, 5 detik tertawa malu. wkwkwkwk #recehkantwitter"
love,"datang-datang, anak batita menyambut sumringah, peluk lama, nempel, 5 menit ngetuk2 kamar mandi ""imo mandinya?"". jemur handuk, takut pergi lagi. dipeluk lepas. dicintai semenyenangkan ini."
happy,bahagia bahagia ac maksimal bahagia perka berjalan normal selamat ya min
happy,"muhammad ali sekedar petinju. muslim terbaik, manusia terbaik era modern. teguh berprinsip lembut penggemar &amp"
anger,anak nevolone marah grgr anton!
anger,"pesan masuknya sexual harrasement sih, dibilang aja. budaya paham patriarki nya penting, coba diperlakukan saudari kalian, temen, pacar? - semangat gita &amp"
fear,"seram nih mati lampu gini. ngeri pas ditinggal keluarga jogja besok, rumah mati lampu."
happy,"teman sma nih , berhubung jomblo 2 gangguin orang. barangkali knalan. bilang kemren cari pasangan ngeetiin tugasnya hehew"
fear,"cerita satinah kayaknya 'beda' yaa.. reply bilangnya sama, degdegan, berani biarpun liat. gaberani liat pic nya .-."
happy,sore ngiler coto sempat. rumah keburu capek. lapar malam buka kulkas temu indomie coto makassar. alhamdullilah..
happy,"gurindam 12 karya raja ali haji, baca sd, bacaan belajar arab-melayu. fenomenal, serius coba baca seluruhnya."
love,disini.. biarkan sepi sendiri.. izinkan bersamamu.. ikatan direstui semesta.. sayang separuh hatiku
happy,zaman sd temenku cowok nih salah satunya suka main desa sebalah nyebarang kali wkk suka bikin prakarya berantakin rumah jualan lotre yak wkk pen ngaqaq
anger,evaluasi x ya nyinyirin masalalu negara. bangun coi hidup era kemunduran kemerosotan moral coi!! gimana bangkit masalalu sibuk asik mengkritisi masalalu memikirkan kewajiban didepan mata.
fear,"patut x buka hati terima orang lain? takut at the end berubah hati. angin x de,tup2...jeng2. we're not meant to be together"
anger,"orang nyindir-nyindir. bisanya adalah, bicara langsung ampun, disertai bumbu kekesalan, maaf teuteup, ngoreksi gimana."
happy,"setuju mendukung apapun diputuskan bupati kutim pemperjelas batas desa kecamatan perijinan lokasi perusahaan tata peruntukannya meningkatkan perekonomian, kesehatan tenang aman.."
happy,"senang deh baca tweet nya mantan pa konglomerat si pramugari viral itu.. ngetweet pengalaman kerja kacung kampret bertahun2, pangkat ubah level doanng.. cungpret lv 5 lv 4"
love,"jatuh cinta ryan gosling the notebook. bosan nonton ulang la la land (sampai 10 kali nonton la la land). mata sayu, senyum lembut...gosling banget."
sadness,"woah... urusan difitnah, dimusuhin, dibikin sekolah gara2 temenan, trauma minggu malam besok paginya sekolah, dibikin malu didepan orang. melewati semua."
anger,hidup 10th !! hidup hambalang !! hidup ektp !! hidup pln mangkrak !! pada(hal) korupsi !!
happy,lepas krim dokter alias krim klinik alhamdulilah iritasi apapun tyda diinginkannn out pakai sunscreen bep
fear,"ojol salah st, bermasalah disamperin opang. untung si mas ojol (ganteng) dijaga allah. ngeri sih"
sadness,baca beres skripsi wkwk pas bedah buku catatan juang dateng. fix semhas habis libur lebaran huhu
happy,"tadu limit time bang, time bidding nainggolan tinggal 17mnts. kritis jg. untungnya tadu bang rio azmi cekatan balas mensyennya. hehehe makasih bang"
fear,semoga anak thailand selamat yahhh dokumenter asliii bikin merinding baca thread2 orang merinding2 akuny
sadness,"kadang suka miris liat jalan daerah2 ""pelosok"" dibangun pemerintah pusat. nyediain pedestrian pisan."
happy,"orang menikmati hidup pertemukan pasangan memiliki sahabat teman .. orang2 terdekatnya, kekurangan kasih sayang"
anger,disediakan tmp. contohnya pasar gembrong. dipakai trotoar. menghargai pedagang negeri aturan happy.
sadness,niatnya sih tidur buka twitter eh scroll twitter habisnya iya kaya sayang habisnya sayangmu aku.. habislah :(
anger,"orderan gk-83526723, driver gojek mgomel keterangan alamat tulis liat aplikasi pegang, tulis lengkap no rumah no. 10, kesal diomel2in aplikasi gojek sndr kompetible"
happy,"alhamdulillah, kesehatan kesempatan mengukir kenangan, kisah hidup #jadilebihbaik. bijak bersedia sosial dukungan koneksi internet lancar."
sadness,kebaikan perbuat meneteskan air keringat dilautan.
anger,"ri menaikkan harga bbm.emang rakyat bbm naik.mau beli sukur,tdk beli ya terserah.mau demo silahkan diciduk.pmrintah dilawan."
happy,"menyumbangkan suara lagu hellomellopoppunk , mas anang sih yes #hellomellopoppunk #hellomello #poppunk #subang #recording @ masterplan recording chamber"
anger,anis bilang prabowo didukung mafia mangap fakta?? sok nyolot kunyuk sopan santunnya pemimpin
anger,"please bawa nama anak muda bro, debat pakai data nyinyir. serasa generasi milenial literatur."
happy,"menunggu pagi dimana manusia mengirim pesan singkat isinya ""hari pr apa?"" 07.30. bangganya satu-satunya gadis kepercayaan-nya sekolah, sring curht kelurganya."
happy,"mengadakan pertemuan presiden happy hati menemaninya kunjungan blukusan (dadakan) masyarakat, tulis lagarde status twitter-nya #jokowi2periode"
anger,sih maunya bri ini? transfer bank via bri mobile terus. serius sih melayani konsumen?
happy,hepi besdey pappa allello condropramonozld ...panjang umur sehat sentosa rejeki soleh amin ya rabb #pappa33yearsold @ pemalang
happy,"selamat resmi bapak, sekedar saran si jagoan dikasih dengar lagu ynwa tonton pertandingan liverpool... biar ngerti sejarah kesetiaan haha"
anger,min ngajuin npwp online 5x berturut2 ditolak alasan yaa.. upload ktp gagal. upload ktp kirim formuli berhasil.
fear,"cak nun, orang percaya akhirat, logisnya percaya allah. syari', kafir. cak nun bilang mega kafir orang paham."
sadness,"mendengar suara bom, guntur, geledek, petir, gunung meletus mendengar suara tangismu berbuat apa-apa."
anger,ish sialan teman hahaha xp
anger,"manusia berwatak ""setan"" .. anggap ""tuhan"" menjalankan agama."
sadness,"melody membatasi ala member ya? dibales mentionnya dikenal aja, hahaha ya sih kisah jeketi beda sebelum-sebelumnya"
happy,alhamdulilah tmksh tiara to cantik dart ava oy
sadness,"gagal teman, bohong mu itu, termakan aku, sedih wed, maaf yaa"
fear,"spontan nyalakan flash hp cari tissue lap. lupa senter kamar sejajar lokasi tetesan, apa. liat hasil lap tisu parno, pas braniin liat, untung ya air biasa, flu, nyium baunya"
happy,"gara gara ngopi dengerin lagu lagu jadul jaman sd kaya tangga, ello, andien, audy. bikin playlist lagu seangkatan 2004-2005."
happy,"membelasut mesra, papa pirang, romeo rabun, serabi solo punyanya kak @/ronzzykevin wkwkwkkwkw membelasut mesra sih ramai wkwkwk"
fear,[askmf] idung abis kena bola kencang langsung muncul lecet merah tulang idung. cek dokter sih? takut tulang idung geser tadu benar-benar kencang sakit nyeri sih
sadness,"inii ... mantap nii inii, inii tok, kemarin nonton deadpool, han solo gr"" teman kasihan ! dasar miskin, teman !"
anger,orang tuamu diperlakukan pacarmu membiarkan lelaki itu.. caci maki tendang ... mending tinggalin cowok mah
sadness,"baca thread fangirl mahasiswa anti kupu2 tuh rasanya..... ah sudahlah, mahasiswa :) .. gila emang, melawan susah"
love,"maha cinta, sandingkanlah jiwa pilihan-mu, kebaikanku - baikkanlah ia, - baikkanlah aku."
sadness,"e btw ya, tumblr benar-benar blokir indo yak :( berbulan-bulan, nya app nya kaga buka ngiteeeerr"
anger,adoh mending belajar baca dolo deh sbelum coment stat orang () biar salah arti tuh haha malu loh coment salah () wkawka
fear,"berdesakan..bejubelan, krl salah godaan berpuasa.....apalagi d nya wanita cantik kunyah gejrot...hehe.."
sadness,"orang deket gasih abgmu ?. boro-boro deket, kelai iya. sangking deketnya (akur) kuliah disuruh serumah barang bertengkar main fisik"
anger,damai taik lo.... soekarno membubarkan partai islam masyumi.. dizaman soeharto bolehkan kembali.. masyumi keluarga bintang partai bintang 1998 begok dungu sok cebong200
anger,"terlepas lepas tangan... peran promoter project creators laku didukung backers (featured project). gue, poin krusial dimana seenak dewe lepas tangan,"
happy,"belajar melt and pour yuk ar.. hahahaha hasilnya cakep, kelemahan nya komposisi soap nya.. link yt sabun lucu nih"
happy,"pulsa cepat habis yaa? ""gatau pak"" (sambil senyum hati berhasil download game waptrick) #oldmoneygakngerasain"
anger,iya orangnya egois
anger,"mending ngusut teroris pertahanan perdamaian nkri. etdah pak, gausa bawa2 aparat hukum kepentingan politik situ napa. btw nunjukin komentar pantes alumni ui pak. biar khalayak"
fear,"kemarin kampus juga, anak kambing nyebrang. eh kambing nya b ajha nyebrang histeris takut ketabrak :(("
love,"ini, jam lalu. terhening ku. tersentak dibungkam sesuatu. sadar ku. jatuh hati. ku lihat fotonya. nampaknya polos. indah matanya ku tersenyum sendiri."
anger,hey kamuuhhh!! semoga dijauhkan keputusan bodoh selamat menjalankan ibadah puasa budiirrr@olfi_opi
sadness,"mas drivernya kayaknya meriksa duitnya. masuk rumah, pergi jg. duhh...maapin mas driver"
anger,"tuh digituin pas ketemu apsara ""kok perawatannya banyak? gendut sih "" senyum iya2in hati ""bacot anjing"""
sadness,"emak naksir baju beli nih, beliau pen gamis hasil blusukan jam 1 itu. bsk, beliau beliin."
fear,"ditelisik lagi...ya anjir bebet bobot bibit apanyalah sulit. lulus kuliah beloman,mikirin gituan...terlalu visioner"
anger,"bikin ""cuman masuk my indihome saya, berbeda tagihan nya gimana solusinya akun penceng800@gmail.com"
anger,"orang bergosip bergibah. bedanya, lakukan sekedar lelah nyampah ditempat terpercaya, sengaja nyampah medsos niat menghancurkan"
anger,paket no resi jb0002742336 tertahan kurir moh. toha bandung. mohon dilanjutkan pengirimannya. lama.
sadness,"ya allah 2 lasut. kemarin bangun jam 10 kerja jam 9. ingetnya kereta jam 11, tahunya 8.45. ya allah ,, semoga lasut h"
love,"menyayanginya hati-hati, utuh terluka. semoga merasakan rasa. orang sayang ibu."
sadness,"sempet nonton beritanya thailand. ngerti bahasanya diam nde bali ngeh tonton berita --"""
sadness,maaf bolak reply mohon bantu share.maaf anggap nyampah.anjing saya...maaf terdengar lebay dramatis anjing setia.makanya sayang dia. maaf terganggu
happy,"mak gregah! lantas bangkit duduk. mematikan saluran wi-fi, membayar kopi. tinggalkan kajen. beralih masjid si mbah ronggo kusumo, ngemplak kidul rumah saya. kawan, nabuh beduk."
love,"heol. gemesin parah. tuh akrab siapapun, strmarah or nah. main diapun takut gigit. first time i met him, ""tandain"" pipi kaki. suka cium pipi aku!!! ""kiss me, dreamy. pwease."""
sadness,berusaha bertahan situasi dimana teror sisi (kaum hawa kagum paras manusia ceritakan sebelumnya) bully berduaan. kirimi surat ancaman kaum hawa kelas brbeda.
love,"cantik langsung tidur ya kamu, balesin mentabnya besok lagi. peje kasih coki coki.. sayang baby"
love,"kangen deh maw, ktm kgn nih sayang semoga baik2 ya cantik disakitin nih calon lawyer nih"
sadness,"marak isu sexual harassment gitasav via. diam speakup biar masyarakat aware peduli. menurutkuuu, via speakup 'mempermalukan'."
anger,"it's like a circle of stupidity. atlit diurusin, duitnya bebenah biar atlit negeri nyaman atlit gizi. beres bebenah eh salah stadion dirusak ""supporter"" timnya (atlit) main jelek. what a moron."
anger,"negara? kehilangan pendapatan cukai rokok. hutang negara banyak. ah, pembenaranmu saja. coba lihat ini! bagaimana? pendapatmu sama?"
anger,halo polisi.. halo densus 88 halo divisi humas polri kog akun kutil lendir penuh kebencian unsur provokatif gini biarkan exist sosial media instagram?! cc :
anger,"gini ya, pelacur kewenangan laki-laki ngelecehin dia. pelacur melacur gratis consent belah pihak. this is why the worst enemy of feminim is women itself."
love,"bagiku, mencintai ungkapan cinta, tersenyum, nyaman bahagia. menerima perbedaan sifat miliki."
sadness,"juga, sakit, migrain byk2nya membutuhkan tenaga mikir, bentar mudik. ya allah coba"
happy,"oma: dokter dika tolong pasangin gocar pulang ya *downloadin aplikasi gojek, oma gocar pulang selamat tujuan happily ever after*"
happy,"mudik sby logistik bahan pangan lengkap, habis panen beli beras smp bulan. alhamdulillah nikmatnya pulang kampung"
anger,indonesia pilih artis difilter apaya orang kek yonglek gini followersnya bagusnya sih maju coba indonesia ya allah
love,"sesibuk apapun, untuknya memberimu kabar, malam iya kalimat membuatmu lega"
happy,terbahak-bahak yaallah next time adain menang part 2 ya wkwkwk ih buluk cantik koo yuhuu luvsss
fear,"bingung level muka kering parah, pakai mempan kulit muka mentul2 lembab enak banget. trusan ganti produk rusak mukanya, ganti kering. dilema ganti ganti"
sadness,"maba dikampus, kuliah difilm film, sumringah semua. sebulan kuliah, langsung kusut muka."
happy,orang keyakinan mengguncangkan pola pikir ragu pola pikir jiwanya. bacalah!!!! nama tuhan menciptakanmu
love,hueee sayang guaaa melow gini sihhh cinta aaahhhh cinta so much beruntung sih jumpa my sweetie
anger,"diam aja. omongin. diam ya. hahah bagusan sih diam diam. ngoceh sih, jatohnya aja, omongin"
happy,"pakai perasaan berbicara nya . caesar connor ok, didi darren its not bad . untung suka pda nyanyi"
love,"5 jam edit video kau. effort sempena birthday tin .. start perkenalan skrg, terima kasih sbb setia smping wlupun kekurangan. sayang tin and happy birthday fatin"
fear,nangis dimotor gapada takut tbtb bawa motor fokus jatuh tabrakan ya? nangis dimotor histeris kepikiran seram tbtb ketabrak grgr fokus nyetir :') drama :(
fear,"kenapa, bertambahnya umur takut pacaran, takut dikhianati, ya lah."
anger,"mah enak membiarkan orang, merasakan enaknya biarkan orang. sih mereka..."
fear,"do'akan anik lulus tes besok surabaya ya bu. jujur ngisi materi forum, selevel dokter benar-benar takut. takut salah maksudnya."
anger,"minat acara2 sejenis ini. acara cengengesan mencerdaskan, buang2 waktu, manfaat. malu ya, bikin acara kek"
happy,"gila sih, lokasinya mirip2 selly oal &amp"
anger,hayolo ngemis2 dicariin sponsor. kemarin kemana pas hati bantuin kamuu. mepet acara gini bingung nyari2 sponsor. perusahaanlu mintain tolong.
happy,yuhuuu w/ panutanqu andra_photo happy sekaliiii ketemu dilain acara
happy,"lagu persembahkan walikota solo, fx hadi rudyatmo kota solo dikenal luas berkat lagu solo #solo"
anger,keseel memikirkan omongan nyokap kemarin ..ntr santai tenangin otak ngadem nongki buku balkot sore
anger,dear coba d tb2 sms kaya bawah. minus 180k lagi. kaget bangun2 nyalakan hp langsung d palakin gitu. makasih ya.
anger,"tolong dong, tingkatkan pelayanannya. gara2 kurir masuk, paket telat antar.. bermasalah jnt cabang paskal bandung. sih gara2 olshopnya jnt, pengiriman lain, ogah pakai jnt. pelayanan selal"
sadness,"ya wartawan itu, kangen adam malik beliau ada. jurnalisme ilmu wajib dipahami pelaku industri press. kaidah jurnalistik longgar, ketat baku. dilu"
anger,"memangnya stakeholdernya dpr? ya, rakyat juga. jaman canggih, dikirim pakai selebaran puluhan juta orang kasih orang dpr ngapain aja. pakai twitter bisa. baca tweetnya balas"
happy,"melewati ini, bayangkan betapa sulitnya. lalui juga. belajar, belajar, belajar. memetik hikmah petik. kedepan."
